pid,pname,price
774,Cookley,$32.55
116,Zamit,$63.76
586,Regrant,$51.96
949,Holdlamis,$14.55
847,Pannier,$75.53
147,Stim,$99.47
441,Voyatouch,$19.99
904,Bitwolf,$9.71
502,Temp,$31.48
810,Stronghold,$16.20
886,Transcof,$94.24
934,Temp,$33.92
569,Home Ing,$88.40
764,Cardguard,$41.94
442,Job,$55.95
386,Wrapsafe,$97.41
532,Stim,$50.07
271,Bitchip,$25.04
755,Bitwolf,$8.03
121,Y-Solowarm,$96.50
726,Viva,$84.98
868,Greenlam,$95.30
205,Regrant,$57.92
577,Toughjoyfax,$45.94
907,Pannier,$56.33
315,Duobam,$66.77
284,Subin,$21.45
1,Aerified,$84.31
804,Bigtax,$16.30
761,Otcom,$10.57
176,Alpha,$13.67
932,Fix San,$63.28
105,Opela,$33.33
1,Ventosanzap,$42.84
530,Quo Lux,$52.44
807,Zamit,$52.17
204,Mat Lam Tam,$52.81
845,Opela,$92.16
364,Zamit,$88.47
905,Domainer,$36.35
685,Opela,$40.68
877,Tempsoft,$48.51
435,Bamity,$71.42
35,Viva,$50.23
319,Alphazap,$63.95
891,Bytecard,$94.36
59,Alpha,$23.64
892,Sonsing,$17.86
857,Domainer,$25.95
144,Domainer,$50.71
69,Toughjoyfax,$61.91
796,Domainer,$3.17
600,Kanlam,$1.96
790,Cardguard,$30.05
825,Holdlamis,$61.27
229,Ventosanzap,$58.88
687,Zathin,$57.90
880,Daltfresh,$39.18
184,Latlux,$6.77
746,Regrant,$68.46
949,Aerified,$84.50
487,Fixflex,$19.00
548,Quo Lux,$8.97
214,Cookley,$83.10
745,Opela,$44.80
156,Sub-Ex,$44.73
788,Bytecard,$98.80
578,Zoolab,$79.62
631,Tin,$43.89
379,Span,$48.38
353,Keylex,$30.45
179,Gembucket,$64.64
239,Otcom,$69.20
648,Sonair,$8.12
722,Redhold,$78.55
651,Y-find,$26.56
412,Zamit,$21.86
561,Tempsoft,$90.20
345,Hatity,$66.51
681,Keylex,$25.43
861,Zontrax,$29.35
670,Otcom,$91.35
564,Cardify,$18.31
927,Job,$4.16
947,Bitchip,$94.12
917,Latlux,$91.51
484,Latlux,$95.06
597,Ronstring,$99.41
136,Stronghold,$51.89
245,Transcof,$66.04
671,Stronghold,$93.78
165,Asoka,$14.11
9,Namfix,$29.62
261,Bigtax,$81.02
284,Opela,$15.18
682,Konklux,$97.29
985,Matsoft,$41.80
619,Alphazap,$70.98
319,Lotlux,$66.60
407,Tin,$89.21
